read_id,len_reference,len_basecalls,que_start,que_end,ref_start,ref_end,comment,AA>AA,AA>AC,AA>AG,AA>AT,AA>CA,AA>CC,AA>CG,AA>CT,AA>GA,AA>GC,AA>GG,AA>GT,AA>TA,AA>TC,AA>TG,AA>TT,AA>-A,AA>-C,AA>-G,AA>-T,AC>AA,AC>AC,AC>AG,AC>AT,AC>CA,AC>CC,AC>CG,AC>CT,AC>GA,AC>GC,AC>GG,AC>GT,AC>TA,AC>TC,AC>TG,AC>TT,AC>-A,AC>-C,AC>-G,AC>-T,AG>AA,AG>AC,AG>AG,AG>AT,AG>CA,AG>CC,AG>CG,AG>CT,AG>GA,AG>GC,AG>GG,AG>GT,AG>TA,AG>TC,AG>TG,AG>TT,AG>-A,AG>-C,AG>-G,AG>-T,AT>AA,AT>AC,AT>AG,AT>AT,AT>CA,AT>CC,AT>CG,AT>CT,AT>GA,AT>GC,AT>GG,AT>GT,AT>TA,AT>TC,AT>TG,AT>TT,AT>-A,AT>-C,AT>-G,AT>-T,A->AA,A->AC,A->AG,A->AT,A->CA,A->CC,A->CG,A->CT,A->GA,A->GC,A->GG,A->GT,A->TA,A->TC,A->TG,A->TT,CA>AA,CA>AC,CA>AG,CA>AT,CA>CA,CA>CC,CA>CG,CA>CT,CA>GA,CA>GC,CA>GG,CA>GT,CA>TA,CA>TC,CA>TG,CA>TT,CA>-A,CA>-C,CA>-G,CA>-T,CC>AA,CC>AC,CC>AG,CC>AT,CC>CA,CC>CC,CC>CG,CC>CT,CC>GA,CC>GC,CC>GG,CC>GT,CC>TA,CC>TC,CC>TG,CC>TT,CC>-A,CC>-C,CC>-G,CC>-T,CG>AA,CG>AC,CG>AG,CG>AT,CG>CA,CG>CC,CG>CG,CG>CT,CG>GA,CG>GC,CG>GG,CG>GT,CG>TA,CG>TC,CG>TG,CG>TT,CG>-A,CG>-C,CG>-G,CG>-T,CT>AA,CT>AC,CT>AG,CT>AT,CT>CA,CT>CC,CT>CG,CT>CT,CT>GA,CT>GC,CT>GG,CT>GT,CT>TA,CT>TC,CT>TG,CT>TT,CT>-A,CT>-C,CT>-G,CT>-T,C->AA,C->AC,C->AG,C->AT,C->CA,C->CC,C->CG,C->CT,C->GA,C->GC,C->GG,C->GT,C->TA,C->TC,C->TG,C->TT,GA>AA,GA>AC,GA>AG,GA>AT,GA>CA,GA>CC,GA>CG,GA>CT,GA>GA,GA>GC,GA>GG,GA>GT,GA>TA,GA>TC,GA>TG,GA>TT,GA>-A,GA>-C,GA>-G,GA>-T,GC>AA,GC>AC,GC>AG,GC>AT,GC>CA,GC>CC,GC>CG,GC>CT,GC>GA,GC>GC,GC>GG,GC>GT,GC>TA,GC>TC,GC>TG,GC>TT,GC>-A,GC>-C,GC>-G,GC>-T,GG>AA,GG>AC,GG>AG,GG>AT,GG>CA,GG>CC,GG>CG,GG>CT,GG>GA,GG>GC,GG>GG,GG>GT,GG>TA,GG>TC,GG>TG,GG>TT,GG>-A,GG>-C,GG>-G,GG>-T,GT>AA,GT>AC,GT>AG,GT>AT,GT>CA,GT>CC,GT>CG,GT>CT,GT>GA,GT>GC,GT>GG,GT>GT,GT>TA,GT>TC,GT>TG,GT>TT,GT>-A,GT>-C,GT>-G,GT>-T,G->AA,G->AC,G->AG,G->AT,G->CA,G->CC,G->CG,G->CT,G->GA,G->GC,G->GG,G->GT,G->TA,G->TC,G->TG,G->TT,TA>AA,TA>AC,TA>AG,TA>AT,TA>CA,TA>CC,TA>CG,TA>CT,TA>GA,TA>GC,TA>GG,TA>GT,TA>TA,TA>TC,TA>TG,TA>TT,TA>-A,TA>-C,TA>-G,TA>-T,TC>AA,TC>AC,TC>AG,TC>AT,TC>CA,TC>CC,TC>CG,TC>CT,TC>GA,TC>GC,TC>GG,TC>GT,TC>TA,TC>TC,TC>TG,TC>TT,TC>-A,TC>-C,TC>-G,TC>-T,TG>AA,TG>AC,TG>AG,TG>AT,TG>CA,TG>CC,TG>CG,TG>CT,TG>GA,TG>GC,TG>GG,TG>GT,TG>TA,TG>TC,TG>TG,TG>TT,TG>-A,TG>-C,TG>-G,TG>-T,TT>AA,TT>AC,TT>AG,TT>AT,TT>CA,TT>CC,TT>CG,TT>CT,TT>GA,TT>GC,TT>GG,TT>GT,TT>TA,TT>TC,TT>TG,TT>TT,TT>-A,TT>-C,TT>-G,TT>-T,T->AA,T->AC,T->AG,T->AT,T->CA,T->CC,T->CG,T->CT,T->GA,T->GC,T->GG,T->GT,T->TA,T->TC,T->TG,T->TT,homo_A_counts,homo_A_errors,homo_C_counts,homo_C_errors,homo_G_counts,homo_G_errors,homo_T_counts,homo_T_errors,phred_mean,phred_median,phred_std,phred_mean_correct,phred_median_correct,phred_std_correct,phred_mean_error,phred_median_error,phred_std_error
20dd02d7-e677-4b93-ab03-5d07cf2940fb,1116,961,105,945,275,1116,pass,34,12,18,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,14,5,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,13,11,15,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,24,16,10,12,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,10,16,12,13,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,14,4,0,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,12,20,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13,5,9,7,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,12,5,2,14,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,6,6,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,4,15,13,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,24,17,9,25,0,0,0,0,3,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,13,3,0,15,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13,13,11,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,20,43,0,0,0,2,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,23,6,0,0,5,0,40,3,8.295238095238096,7.0,4.04686547606983,8.391139240506329,7.0,4.060014649640519,6.78,6.0,3.5002285639655017
a52ab844-4bb0-4360-a043-c99e9195b20e,1018,861,4,852,93,1018,pass,8,3,15,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,36,20,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,18,7,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,3,8,9,0,0,0,0,0,0,7,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,10,8,0,0,0,0,2,0,0,19,0,0,0,3,0,0,0,20,0,0,0,18,15,7,28,20,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,10,33,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19,8,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,27,18,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,21,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,25,8,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,18,15,0,0,0,0,1,0,2,0,0,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,31,11,6,2,8.46816037735849,7.0,4.4005172737038425,8.531941031941033,7.0,4.3985520195581005,6.9411764705882355,5.0,4.1652708157883485
6835bdee-d4c0-4a96-a244-16d8d3fafdbe,585,447,1,447,24,585,pass,14,10,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,11,0,0,0,0,1,39,0,0,0,25,0,0,0,15,0,0,0,35,0,0,10,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,12,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,18,29,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,15,6,8.17713004484305,7.0,4.0070024823304315,8.209195402298851,7.0,4.034894696852881,6.909090909090909,6.0,2.3531234737354154
83d37e23-c358-42d5-8ab3-4738468e74a8,591,455,61,453,180,591,pass,5,1,5,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,8,15,0,0,0,0,0,2,0,0,0,1,0,2,0,3,0,0,0,0,0,0,3,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,6,7,16,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,4,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,7,2,8,15,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,6,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,5,6,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,14,27,0,0,1,0,2,0,0,0,0,0,1,2,0,0,1,2,2,0,0,2,0,0,0,0,0,0,10,0,7.663265306122449,7.0,3.6419995560608402,7.703504043126685,7.0,3.671624068610046,6.9523809523809526,6.0,2.9837047995848653
0b16064c-2bca-4f7b-ad95-b830e6befbb4,3383,3261,0,3261,70,3379,pass,136,39,52,101,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,51,46,1,64,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,63,26,49,56,0,0,0,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,93,68,60,79,1,0,1,1,4,0,0,0,1,5,0,2,1,0,1,0,2,0,0,3,64,40,54,62,1,0,0,1,0,0,1,0,0,0,1,0,3,1,0,0,1,0,0,0,55,37,0,55,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,62,45,57,79,0,0,1,4,8,3,0,8,4,1,0,0,1,1,0,1,3,2,0,1,53,40,33,37,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,32,21,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,37,24,30,30,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,30,27,35,62,0,0,0,0,3,1,4,0,0,2,0,0,0,0,0,0,0,0,0,1,69,42,53,104,2,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,87,40,3,83,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,1,66,42,42,61,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,85,76,62,126,2,0,0,2,9,0,5,0,3,6,0,0,3,1,2,0,5,0,1,0,58,13,0,0,0,0,40,3,8.073903710518247,7.0,3.8991892160686756,8.118425196850394,7.0,3.9008770314485983,6.430232558139535,5.0,3.455836645829906
2be759b8-ad23-4f6d-8726-61e171f2d566,4598,4480,67,4466,163,4598,pass,206,66,105,106,0,1,1,0,2,2,3,5,0,0,1,0,9,1,1,0,1,1,0,1,93,43,6,66,0,1,0,0,2,1,0,2,5,4,1,1,3,1,2,1,0,0,0,0,104,65,79,72,0,0,0,0,3,4,5,0,0,0,0,1,2,0,0,0,0,0,0,2,86,62,78,101,2,1,0,6,4,0,1,3,0,3,1,2,11,1,2,2,0,1,2,4,94,73,100,85,0,0,0,1,0,1,3,2,1,2,1,0,5,4,2,1,0,1,0,2,71,39,10,63,0,0,0,0,1,0,0,0,4,0,0,3,1,2,1,0,0,0,0,0,7,10,13,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,51,63,70,76,2,0,1,11,12,1,1,4,0,0,0,2,2,0,1,1,6,1,0,11,89,34,74,53,1,0,0,0,1,0,1,0,0,0,0,1,6,2,6,1,1,1,0,0,82,51,11,53,0,1,0,0,2,0,0,0,5,2,1,2,0,0,5,1,1,2,0,0,63,59,36,43,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,34,32,63,55,2,0,0,0,8,2,6,2,6,6,2,2,1,0,1,1,3,0,0,8,85,32,38,81,1,0,0,1,1,4,2,1,0,0,0,1,8,6,1,2,0,0,0,1,103,43,12,83,1,0,0,0,1,1,0,0,2,5,0,0,1,1,3,3,2,0,0,1,78,65,64,57,1,0,1,2,3,2,5,0,1,0,0,0,0,1,0,0,0,0,0,1,80,92,75,145,2,1,1,6,11,5,10,1,2,10,0,1,3,0,3,5,1,0,1,8,134,17,10,0,0,0,78,16,7.490793362127756,6.0,3.62229517124263,7.558752417794971,6.0,3.636789611133281,6.422053231939164,5.0,3.2018008782693705
66645d83-ed0b-459b-9d86-da9e0d24b8bc,471,349,0,348,23,471,pass,15,11,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,9,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,4,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,10,0,0,0,1,0,0,0,29,0,0,0,21,0,0,0,11,0,0,0,30,18,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,8,13,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,5,0,9.031609195402298,7.0,5.161376314169233,9.037790697674419,7.0,5.185093998197721,8.5,9.0,2.29128784747792
755cd451-d9a9-4111-a253-716e07a0584f,5854,5775,0,5775,23,5852,pass,208,83,92,112,1,0,0,1,1,4,3,2,0,0,0,0,2,2,4,1,0,0,1,0,115,73,25,95,0,0,0,0,1,1,0,0,1,2,0,1,3,4,2,1,0,0,0,0,121,75,118,86,0,1,0,1,3,1,5,0,0,0,0,1,2,0,1,0,0,0,0,2,89,74,94,124,0,0,2,3,0,0,2,13,0,2,1,10,2,2,6,13,0,0,1,30,122,96,125,103,0,0,1,0,2,0,4,0,0,1,1,0,7,2,2,1,0,0,0,0,129,59,15,91,0,0,0,0,2,0,0,2,2,3,1,1,1,1,0,1,0,0,0,0,24,12,13,25,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,65,77,111,106,0,0,0,5,3,0,3,3,0,0,0,1,1,1,2,1,2,1,0,11,77,56,119,79,0,0,0,0,1,1,0,0,1,0,0,0,5,0,6,0,0,0,0,0,94,81,17,71,0,0,0,0,0,0,0,0,1,4,0,2,0,0,3,0,0,0,0,0,95,89,84,84,1,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,69,63,112,72,0,0,0,4,6,0,1,4,2,1,0,3,0,0,0,0,0,0,0,9,80,65,56,89,1,0,0,0,1,3,6,1,0,1,0,0,7,1,2,2,0,0,0,0,121,73,20,107,0,0,0,0,0,1,0,0,1,9,0,0,0,1,0,2,0,0,0,0,96,81,134,118,0,0,0,1,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,84,115,116,201,1,1,0,1,5,0,4,0,0,8,1,2,2,0,0,0,1,1,0,1,140,7,15,1,15,0,119,25,7.821818181818182,7.0,3.7864568621171095,7.876456876456876,7.0,3.8046685455157596,6.282828282828283,6.0,2.826785317837114
5be7cffd-eae9-47bd-83af-b04456c7d7a8,2000,1876,94,1869,221,2000,pass,46,25,26,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,37,18,1,33,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,27,31,26,25,0,1,0,0,2,0,4,0,0,0,1,0,2,0,0,0,0,0,0,1,15,27,34,36,1,0,0,1,2,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2,29,27,44,47,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,41,33,0,33,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,28,40,42,41,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,4,1,1,3,23,17,22,16,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,34,18,2,27,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,22,24,35,21,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,9,23,15,26,0,0,1,2,1,0,1,3,0,3,0,0,0,0,0,0,0,1,0,1,17,15,14,26,0,0,1,1,1,3,3,1,0,0,0,0,3,2,2,0,0,0,0,1,37,38,3,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,0,0,29,24,33,29,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,32,51,23,72,0,0,0,1,1,1,1,0,1,9,0,2,0,2,1,0,0,0,0,3,11,1,0,0,0,0,34,7,7.873802816901408,7.0,3.8359112497617045,8.0,7.0,3.8564164178483,5.666666666666667,5.0,2.608745973749755
8d6eaab1-e937-4c12-958d-bda4dbf05494,5199,5044,18,5041,163,5199,pass,228,79,88,157,0,0,0,0,2,1,0,3,1,0,0,0,11,1,1,0,0,0,0,0,110,53,15,72,1,0,1,0,2,0,0,0,2,1,0,1,2,3,0,1,1,1,0,1,97,58,62,60,0,0,1,0,4,0,6,0,0,1,0,0,2,0,0,0,0,0,0,1,113,60,82,180,1,1,0,12,0,1,1,2,0,6,0,5,2,1,3,3,0,4,1,17,78,62,74,100,0,1,0,0,0,1,2,0,1,1,0,0,4,0,1,2,0,0,0,1,69,49,9,81,0,1,0,0,0,2,1,0,3,2,0,1,0,0,0,0,0,0,0,0,11,9,12,12,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,78,61,84,96,2,1,2,5,9,3,2,3,1,3,0,1,1,0,1,0,3,0,0,4,85,51,66,66,0,0,0,1,1,0,1,0,0,0,0,0,3,0,2,1,0,1,0,0,45,52,9,65,1,0,0,1,3,0,1,1,1,2,0,1,0,1,2,1,0,0,0,0,61,41,56,47,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,50,35,53,65,0,0,0,2,2,0,2,2,0,6,0,1,0,0,0,0,0,3,0,4,146,55,62,122,0,0,0,1,2,2,0,0,2,0,0,0,8,3,0,0,0,0,0,1,89,50,9,106,0,1,0,2,0,1,0,0,1,4,0,1,1,2,1,4,0,0,1,2,97,61,68,73,0,1,1,1,2,1,5,3,1,1,2,1,3,1,0,0,0,0,0,0,150,101,99,273,2,2,2,4,9,1,5,1,4,7,0,1,5,0,1,1,0,0,0,0,127,23,16,0,10,0,118,16,7.766673302807088,7.0,3.73773236912,7.829694323144105,7.0,3.7536845321894012,6.350467289719626,5.5,3.031543631714067
