#model3
read_id,len_reference,len_basecalls,que_start,que_end,ref_start,ref_end,comment,AA>AA,AA>AC,AA>AG,AA>AT,AA>CA,AA>CC,AA>CG,AA>CT,AA>GA,AA>GC,AA>GG,AA>GT,AA>TA,AA>TC,AA>TG,AA>TT,AA>-A,AA>-C,AA>-G,AA>-T,AC>AA,AC>AC,AC>AG,AC>AT,AC>CA,AC>CC,AC>CG,AC>CT,AC>GA,AC>GC,AC>GG,AC>GT,AC>TA,AC>TC,AC>TG,AC>TT,AC>-A,AC>-C,AC>-G,AC>-T,AG>AA,AG>AC,AG>AG,AG>AT,AG>CA,AG>CC,AG>CG,AG>CT,AG>GA,AG>GC,AG>GG,AG>GT,AG>TA,AG>TC,AG>TG,AG>TT,AG>-A,AG>-C,AG>-G,AG>-T,AT>AA,AT>AC,AT>AG,AT>AT,AT>CA,AT>CC,AT>CG,AT>CT,AT>GA,AT>GC,AT>GG,AT>GT,AT>TA,AT>TC,AT>TG,AT>TT,AT>-A,AT>-C,AT>-G,AT>-T,A->AA,A->AC,A->AG,A->AT,A->CA,A->CC,A->CG,A->CT,A->GA,A->GC,A->GG,A->GT,A->TA,A->TC,A->TG,A->TT,CA>AA,CA>AC,CA>AG,CA>AT,CA>CA,CA>CC,CA>CG,CA>CT,CA>GA,CA>GC,CA>GG,CA>GT,CA>TA,CA>TC,CA>TG,CA>TT,CA>-A,CA>-C,CA>-G,CA>-T,CC>AA,CC>AC,CC>AG,CC>AT,CC>CA,CC>CC,CC>CG,CC>CT,CC>GA,CC>GC,CC>GG,CC>GT,CC>TA,CC>TC,CC>TG,CC>TT,CC>-A,CC>-C,CC>-G,CC>-T,CG>AA,CG>AC,CG>AG,CG>AT,CG>CA,CG>CC,CG>CG,CG>CT,CG>GA,CG>GC,CG>GG,CG>GT,CG>TA,CG>TC,CG>TG,CG>TT,CG>-A,CG>-C,CG>-G,CG>-T,CT>AA,CT>AC,CT>AG,CT>AT,CT>CA,CT>CC,CT>CG,CT>CT,CT>GA,CT>GC,CT>GG,CT>GT,CT>TA,CT>TC,CT>TG,CT>TT,CT>-A,CT>-C,CT>-G,CT>-T,C->AA,C->AC,C->AG,C->AT,C->CA,C->CC,C->CG,C->CT,C->GA,C->GC,C->GG,C->GT,C->TA,C->TC,C->TG,C->TT,GA>AA,GA>AC,GA>AG,GA>AT,GA>CA,GA>CC,GA>CG,GA>CT,GA>GA,GA>GC,GA>GG,GA>GT,GA>TA,GA>TC,GA>TG,GA>TT,GA>-A,GA>-C,GA>-G,GA>-T,GC>AA,GC>AC,GC>AG,GC>AT,GC>CA,GC>CC,GC>CG,GC>CT,GC>GA,GC>GC,GC>GG,GC>GT,GC>TA,GC>TC,GC>TG,GC>TT,GC>-A,GC>-C,GC>-G,GC>-T,GG>AA,GG>AC,GG>AG,GG>AT,GG>CA,GG>CC,GG>CG,GG>CT,GG>GA,GG>GC,GG>GG,GG>GT,GG>TA,GG>TC,GG>TG,GG>TT,GG>-A,GG>-C,GG>-G,GG>-T,GT>AA,GT>AC,GT>AG,GT>AT,GT>CA,GT>CC,GT>CG,GT>CT,GT>GA,GT>GC,GT>GG,GT>GT,GT>TA,GT>TC,GT>TG,GT>TT,GT>-A,GT>-C,GT>-G,GT>-T,G->AA,G->AC,G->AG,G->AT,G->CA,G->CC,G->CG,G->CT,G->GA,G->GC,G->GG,G->GT,G->TA,G->TC,G->TG,G->TT,TA>AA,TA>AC,TA>AG,TA>AT,TA>CA,TA>CC,TA>CG,TA>CT,TA>GA,TA>GC,TA>GG,TA>GT,TA>TA,TA>TC,TA>TG,TA>TT,TA>-A,TA>-C,TA>-G,TA>-T,TC>AA,TC>AC,TC>AG,TC>AT,TC>CA,TC>CC,TC>CG,TC>CT,TC>GA,TC>GC,TC>GG,TC>GT,TC>TA,TC>TC,TC>TG,TC>TT,TC>-A,TC>-C,TC>-G,TC>-T,TG>AA,TG>AC,TG>AG,TG>AT,TG>CA,TG>CC,TG>CG,TG>CT,TG>GA,TG>GC,TG>GG,TG>GT,TG>TA,TG>TC,TG>TG,TG>TT,TG>-A,TG>-C,TG>-G,TG>-T,TT>AA,TT>AC,TT>AG,TT>AT,TT>CA,TT>CC,TT>CG,TT>CT,TT>GA,TT>GC,TT>GG,TT>GT,TT>TA,TT>TC,TT>TG,TT>TT,TT>-A,TT>-C,TT>-G,TT>-T,T->AA,T->AC,T->AG,T->AT,T->CA,T->CC,T->CG,T->CT,T->GA,T->GC,T->GG,T->GT,T->TA,T->TC,T->TG,T->TT,homo_A_counts,homo_A_errors,homo_C_counts,homo_C_errors,homo_G_counts,homo_G_errors,homo_T_counts,homo_T_errors,phred_mean,phred_median,phred_std,phred_mean_correct,phred_median_correct,phred_std_correct,phred_mean_error,phred_median_error,phred_std_error
8798b112-44ca-4c83-af32-79012e84fea9,1505,1399,78,1399,230,1504,pass,35,10,16,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,12,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,18,11,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,21,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,19,15,2,44,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,67,23,79,0,3,0,14,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,4,9,7,15,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,13,19,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,12,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,10,20,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,6,9,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,34,2,108,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,20,16,17,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14,78,15,112,0,8,0,13,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,32,5,0,0,0,0,64,12,8.009084027252081,7.0,3.6397056506080423,8.11566265060241,7.0,3.685131808829147,6.2631578947368425,6.0,2.135960409231897
1dae6eea-9ad8-4530-a00e-25f1a66c0df7,1134,1051,88,1024,123,1079,pass,36,12,13,14,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,12,7,2,19,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,20,16,30,11,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,14,12,13,9,0,0,2,1,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,2,15,14,26,18,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,25,18,1,18,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,22,21,23,0,1,0,0,8,0,0,0,1,0,0,0,6,0,1,0,1,0,0,0,16,7,27,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,22,20,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,21,15,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,13,9,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,9,7,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,16,2,20,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,15,15,19,9,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,18,16,22,0,0,0,0,2,0,4,0,0,5,0,5,2,1,1,0,0,1,0,0,32,6,15,8,5,1,10,3,6.912393162393163,6.0,3.0182522110529293,6.994363021420519,6.0,3.0276761369778544,5.428571428571429,5.0,2.3989793748209522
49da50c0-6325-49ca-99a4-56be5d59580d,,,,,,,failedmapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab61caa0-c3e5-4183-a1a3-ff2075ddafcc,1793,1677,0,1676,119,1768,pass,93,20,40,44,0,1,0,0,0,1,0,1,0,0,0,0,7,2,2,0,2,0,0,0,35,10,5,26,0,0,0,0,0,0,0,0,1,5,0,3,2,2,1,0,0,2,0,0,45,25,22,27,0,0,2,2,4,1,5,1,0,0,0,1,1,0,1,0,0,0,0,3,46,19,29,29,1,1,0,1,7,0,1,2,4,1,0,5,4,0,4,3,1,0,1,1,20,22,44,26,0,0,0,1,0,0,0,0,0,0,0,0,3,3,2,1,0,1,0,1,29,11,1,15,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,2,0,0,0,0,1,2,7,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,20,21,28,17,0,2,6,2,5,0,0,0,1,0,0,0,0,0,1,0,1,0,4,0,37,17,27,23,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3,2,1,0,0,0,27,11,5,20,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,30,20,32,17,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,24,17,22,18,0,0,0,3,2,0,2,4,1,0,3,0,1,0,0,0,0,0,0,2,42,20,20,32,0,0,0,0,0,1,1,2,0,0,0,0,6,0,1,0,0,0,0,0,23,16,4,23,1,2,0,1,1,0,0,0,0,5,0,5,0,3,1,2,0,0,0,0,29,9,31,29,0,0,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,1,0,0,29,18,24,35,2,1,0,2,2,6,0,0,0,6,0,0,0,1,1,0,0,2,0,0,76,15,0,0,10,2,15,1,7.180787589498807,6.0,3.4064572054191355,7.246864686468647,6.0,3.436330129261129,6.559006211180124,6.0,3.041829950402618
d8ceeab8-b1d7-423d-9d2d-2985aa8eaf8d,1382,1240,10,1238,135,1382,pass,44,12,24,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,9,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,18,20,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,19,21,39,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,11,11,19,22,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,11,6,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,20,40,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,21,10,13,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,17,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,14,11,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,21,22,0,0,0,2,2,0,2,2,0,0,1,1,0,0,2,1,0,0,0,8,22,13,18,39,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,24,11,2,39,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,23,16,17,37,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,35,37,33,77,0,0,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,20,1,0,0,0,0,44,10,7.997557003257329,7.0,3.8684593503256517,8.057287278854254,7.0,3.8859156894622693,6.2682926829268295,5.0,2.820001645423343
fc6d0c8e-0357-4e3a-bcbe-5ec0cf0f419c,429,254,22,254,191,428,pass,5,3,0,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,6,3,23,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,8,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,3,1,17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,8.422413793103448,7.0,4.037861464697076,8.634703196347031,8.0,4.036803437069133,4.846153846153846,4.0,1.7027648939368196
060d9f74-edae-4802-b73a-b6896c7d5d85,632,451,0,449,173,632,pass,27,8,16,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,3,2,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,6,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17,10,3,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,8,12,9,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,2,0,0,2,13,5,5,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,8,0,15,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,8,1,14,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,19,4,18,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,20,4,6.599109131403118,6.0,2.8479819931882706,6.68321513002364,6.0,2.8515479713923275,5.230769230769231,4.0,2.4068442841787716
472cbd72-abc8-4db7-8fbc-f3b850431965,660,509,0,466,153,633,pass,26,11,7,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,3,1,15,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,8,4,13,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,10,8,10,2,0,0,0,0,0,1,1,0,0,0,1,1,4,2,0,0,2,0,0,6,8,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,6,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,11,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,2,7,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,1,10,6,4,15,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,11,4,2,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,8,5,5,3,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,11,5,4,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,5,1,8.274678111587983,7.0,4.482402693786379,8.348027842227378,7.0,4.4746763155735865,7.371428571428571,6.0,4.479066958232098
07541c15-2956-47dc-852d-64652c9a82f5,6501,6184,0,6170,114,6492,pass,224,89,110,137,3,0,0,2,3,10,7,12,1,1,1,1,7,1,4,2,0,1,0,1,92,37,3,119,4,2,0,1,4,1,0,4,3,7,0,6,6,1,2,3,0,1,0,0,127,62,92,77,2,2,1,1,9,4,15,2,0,1,1,1,8,1,2,3,1,0,1,8,115,88,110,139,1,1,5,14,5,3,9,6,7,14,5,12,16,4,25,17,6,10,4,19,85,45,100,113,3,2,0,1,2,2,4,4,0,2,6,6,11,8,5,4,3,7,1,2,84,57,3,92,1,0,0,0,3,1,0,2,4,0,0,3,0,1,2,1,0,0,0,0,4,2,1,2,0,0,0,0,0,0,1,0,0,0,7,5,4,1,3,4,0,0,0,3,70,97,132,110,5,3,8,25,11,9,1,17,3,10,1,3,4,1,2,0,8,2,2,17,132,51,97,88,0,2,0,0,4,3,7,0,0,0,0,1,8,4,6,2,1,0,1,2,63,39,3,70,0,0,0,1,3,1,0,2,7,6,0,2,4,4,8,5,1,1,0,0,102,46,50,60,1,0,1,5,4,1,2,0,0,0,5,3,1,0,0,4,0,0,0,1,49,42,95,102,0,2,6,6,13,7,22,7,8,3,3,7,5,0,4,2,5,2,1,7,115,48,47,106,3,3,2,4,3,6,3,8,2,1,0,2,9,7,8,7,5,1,0,6,115,84,2,157,0,2,0,3,4,2,1,1,6,15,0,4,8,12,8,26,2,0,2,2,124,56,98,119,1,1,2,3,10,7,10,10,1,6,2,3,6,7,2,5,4,3,4,6,110,148,116,237,9,8,2,15,18,6,25,18,9,28,7,16,7,3,21,12,3,2,10,15,87,10,25,7,21,4,97,22,6.4322528363047,6.0,2.993135898989173,6.555370061213133,6.0,3.0359627084651786,5.580231065468549,5.0,2.5181588416427463
08ed2ed4-9606-4b91-9afa-bd51a659ed08,,,,,,,failedmapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
